Text,Sentiment
" Quite apart from all the other bastardry he was subjected to, Shorten was hounded relentlessly by journalists because he…",0
A Paloma tá em 2020 já é me mandou um áudio kkkkkkk eu falei com o futuro,0
 Is it possible  that when all the dust eventually  settles we might see a Royal Commission into this tragedy.,-1
    Despite the best efforts of government the #ABC remains the most reliable source of news i…,-1
,0
'Pull my finger': Most bizarre sports highlights of 2019  via ,-1
 Happy new year everyone! We've now got more than 50 people who have volunteered space at their homes for people and/or the…,1
 Has the  decided to support bot-trolling? ,1
 Good work from  this morning with a small pic of fireworks and the rest really devoted to the fires. #priorities,1
" ""If the experts say it's safe to have the fireworks continue, well, we should do that. It sends a strong message to our co…",1
" Kook brought his suitcase &amp; bag into the room 

After Jimin decided to share with Tae , he then moved his suitcase &amp; bag out…",1
 Australia is likely to be a wrecker on global climate change policy in the 2020s and I don't see that much hope of it ch…,1
A harrowing video of firefighters being overrun by bushfire in the state’s south has given insight into the battles… ,0
"   I’ll just tell my daughters that thr sporting opportunities, safe spaces, etc r… ",1
   Tf a boarder ?,0
 Kaede,0
"WOW THIS ONE REALLY HITS HOME FOR ME, THE BENCH ISN'T BIG ENOUGH. ",1
 I'm sorry. I stood in the protests against starting that war (and only that war) until in my city w… ,-1
I was 14 at the start of the 2010s. Feels like no time at all has gone by since then. Which is. . . concerning.,1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
 Spoke to my relatives in the Netherlands. They are very aware there what’s happening here. The Happy Clapper Slogan Bogan is…,1
 This is an excellent scientific explainer by  of exactly how #climatechange has changed Australian temperat…,1
 Dali wants to come too. #stowaway ,0
"The last time Spurs won a league game was last year.

#JoseOut",1
 Potentiallillillillill *blurgh* ally....,0
 A massive Happy New Year to you also Richard this will be a year of thinking bigger and smashing bo… ,1
"  Plus Gina and the mining gang, a Murdoch here or there... 
It's our money the LNP are spending on entertainment.",1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
 Yes girl!!,1
  Interestingly they also use an arm7 core.,1
 ,0
" NO. I don't consent. Our government went ahead with fireworks in our cities and every corner, whilst precious animals, wil…",1
  None of these ministers ever actually seem qualified for what they’re doing. When was the last time a Mini…,0
  Can someone from SS explain why my SS iPhone app has my bench working set progress from 30kg… ,1
,0
 ,0
PiCo Campaign works with PiCoHub and PiCo Connect to provide you with a full suite of customer campaign capability.… ,0
 That moment when The Simpsons predicts the climax of Wano five years ago... ,0
" Salesi: Hey there Kairi, Hey there Kiara",0
" Well said  ❤️
11 hrs in to the new decade here in Sydney. Hope your year , your decade and the e… ",1
"    All of you: I don't like your tone, I won't have a bar of it, so beat it!",-1
How long until  starts on YouTube ?,0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
" Thank you for your calming influence, your visionary leadership, your inspirational vision, your Christian example, you…",1
"   Happy New Year from Sydney, Australia! 🎉🎉🎉",1
   Not as shocked as when the PM gave Australia the middle finger and went to Hawaii. And gives us…,1
 The Public Information and Inquiry Centre has been opened for bushfire information in South Coast areas. The telephone numbe…,0
 My favourite intersection of competing interests is hardcore Australian monarchists and an increasingly climate activist…,1
   OK Doomer.,1
   did News Corp and Rupert tell one of their employees to come back because it's a bad look politi…,-1
" although they always look amazing, why the fuck did they light them? ",1
"  Kev - I can’t fathom past PM’s such as yourself, Julia, Tony, Malcolm, or Paul ever camping out at kirribilli…",0
But it seems #ScottyfromMarketing didn't read to the end of the book. Once Churchill raised morale he got voted out,0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
my mum cries every time i leave and it hurts,-1
 OPINION: The NSW practice of strip-searching children for drugs (usually finding nothing) is directed by emergency servic…,-1
   True- I prayed.,1
" Down Under, a sad and shocking end to our year. Thank you to all the heroes battling the fires nationwide. It’s hard to cel…",-1
"Update from yesterday’s bushfire tweet. My sister-in-law and her family are safe, their house was spared thanks to… ",1
" Yay, 1st follower!",1
 ,0
 esse tá sendo com certeza o pior ano novo da minha vida,0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
 sen güzel adamsın kardeşim ya keşke aynı şehirde olsak iyi gelsin hepimize 2020,0
 I swear,-1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
 This story of mine from September seems more relevant than ever now.  ,0
 Thank you! Our New Year’s Eve volunteers are pretty amazing!,1
 Penalty rates reductions result in $50 million loss in wages  via ,-1
We zijn nu een uurtje verder... bestaat Duindorp nog? #Duindorp,0
 hahahahahahaha LIN,0
New Year Gardening adventures #Gardening #UrbanGardens #NewYearsDay2020  ,1
 The firefighters’ union (FBEU) has been asking to meet with Elliott for months to talk about the impact of budget cuts on…,-1
 para sempre na minha memória,0
 😘,1
A reminder that Newscorp is owned by someone who sold out his citizenship for money. Murdoch is a propagandist and… ,0
Mars Mission Update: December 2019  via ,0
 Went to bed.  I was not going to watch on principal.  Hasn't achieved anything but my self respect.,1
 Still a great place to raise your kids #ScottyfromMarketing ? #smoko ,1
Happy New Year to all my friends in the UK. Nice of you to turn up eventually ,1
Welcome to Morrison's Australia ,1
 This interim report of the Royal Commission into Aged Care is scandalous. It’s worth even reading the first 12 pages of th…,1
" Yes indeed. 
If  were a decent politician less influenced by conservative political ideology &amp; fundame…",1
【日本語の一人称】私(わたし/わたくし)、僕、俺、俺様、自分、儂、あたし、あたくし、あたい、わい、あだす、うち、おいら、おら、おいどん、吾輩、某、麿、小生、あっし、あちき、妾、拙者、手前…etc.　【英語の一人称】Ｉ　日本語って世界一難しい言語だと思う(笑),0
" before this night end, i just wanna apologise to the ppl that I've hurt while i was hurting and thank u to everyone that…",-1
 HAPPY NEW YEAR!!! 💙⚡💙⚡💙 Love Sonic #SonicMovie ,1
As he heads into the final stage of Olympic qualifiers will Graham Arnold be the first coach since Graham Arnold (c… ,0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
 My favourite intersection of competing interests is hardcore Australian monarchists and an increasingly climate activist…,1
 “No better place to raise kids” -according to our PM this morning. ,1
 Tell us what you really think 😉 Happy New Year Laura! ,1
" Well at least the infection may be gone, that's a plus haha.
Seems like you're on the mend which I'm incredibly glad to hear 🙂",1
 Looks great!,1
 cof,0
Happy New year to all you hope 2020 will be a good year for us and hope arsenal  will win first  game in 2020,1
 Very hard to celebrate a decade where Govts had all the facts on the risks ahead and failed to act. As we head in to 2020…,-1
 ??? How u know,0
Haha ,1
 HAPPY NEW YEAR!!! 💙⚡💙⚡💙 Love Sonic #SonicMovie ,1
"  and you will be held to account at the next election, I expect we will never see or hear of you again. And we…",0
Happy New Year 🥳 ,1
 HAPPY NEW YEAR!!! 💙⚡💙⚡💙 Love Sonic #SonicMovie ,1
  (Insert obligatory caveat about parsimony being valuable),1
 See Dacait and Arjun. They were released in 80s,0
" Que ce dernier jour de l’année soit la fin de toutes souffrances, pleures que vous avez enduré tout au long de celle-ci afin de…",-1
 چالش يهويي بي ارايش منو ديدي 🤣🤣🤣,1
 Lmaoooo,0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
 ,0
" No, they were not. Television viewers were shocked to see entire streets destroyed by fire and families sheltering on boats…",-1
" PM 2.5  

#YouveStolenMyChildhood 
#HowDareYou 
#AustraliaBurns
#PeopleAreDying
#CoalMan …",0
" what a crap overnight program you have at the moment - dead air, a host who needs a personalised transplant… ",-1
" แง้งงงงงงงว!!...มุมนี้คือพี่จ้านน่ารักมาก น่ารักที่สุด น่ารักๆๆๆๆๆๆ😭😭😭 คนอะไรตกใจกระดาษยังดูปุ๊กปิ๊ก ม้อบแม้บ ไปหมด
กระ…",-1
alr goodnight.       waking up to one of your follows wou… ,0
 This person needs to be sacked. Unforgivable abrogation of duty. Would anyone  in the private sector who cares about  their job…,1
  Oh! Oh thank you so much. That’s incredibly kind of you. Bless you my dear. Take good c… ,1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
   ,0
 Not specifically but very little left on the north,0
 “No better place to raise kids” -according to our PM this morning. ,1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
"     ""Every year four tonnes of fuel per hectare accumulat… ",0
  Now we’re faced with ID’ing who’s Rasputin.,0
  Martin sounds like he’s about twelve years old.  Knows nothing..does nothing..,1
Bienvenue à la troisième cohorte de spécialistes des incendies du Canada qui sont arrivés à #Brisbane en ce Jour de… ,0
 You’re welcome,1
 ,0
" No, they were not. Television viewers were shocked to see entire streets destroyed by fire and families sheltering on boats…",-1
"They called him a reporter, I think I'm dying of laughter. IN WHAT WORLD!",1
" More than 5 million hectares burned.

Now 11 people killed.

Almost 500 million animals estimated dead.

At least 18 expe…",-1
 Okay... so let's invert it. What would need to happen for you to change your view?,1
" Childless women are to be commended for not breeding, 80 years out from human extinction.

A baby born in 2019 and 2020…",1
,0
  If we had a #Labor PM they would be screaming at the world to expedite action on greenhou… ,-1
   happy new year bby i love u,1
 scomo loves money scomo loves money scomo loves money scomo loves money scomo loves money scomo loves money scomo loves m…,1
"  As sad as it is, the mob don’t have long memories - the meonly gen is alive and well",1
 How good is air pollution!? ,1
 couch turkey! yuumm 😋,0
بهاء سلطان قمر🥰🥰,1
  🤞,0
" before this night end, i just wanna apologise to the ppl that I've hurt while i was hurting and thank u to everyone that…",-1
" You know it’s bad when it makes the news in America (with all due respect, my friends, but this doesn’t happen often).…",1
7 crackheads fr ,0
 Happy new year everyone! We've now got more than 50 people who have volunteered space at their homes for people and/or the…,1
" Thank you , your only fans page looks great pup may have to join but could he handle to tease 😂",1
俺より強いお魚に会いに行く！,0
" “...reflecting individual circumstances...”
Howard phraseology to a T.
Master of the mealy-mouthed mano… ",0
  How she dickriding her own people?,0
Infographic: A relationship timeline of the established couples from #LoveIslandAU  ,0
" More than 5 million hectares burned.

Now 11 people killed.

Almost 500 million animals estimated dead.

At least 18 expe…",-1
 Happy new year everyone x ,1
Someone go out w me tonight,0
"Happy new year ♥️
#cheers 🥂 #skål #2020 en Sydney Harbour Bridge ",1
 Proud of you qurban,1
" Cet homme a dit à sa fille ""ne dis a personne que ton père est éboueur, ils se moqueront de toi.""

Sa fille a fait prend…",0
" Incredible - and frightening - photos are emerging from Mallacoota, a small town in the East Gippsland region of Victoria, where a…",-1
 Yu couldn’t make this up.,0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
"It's good to know I can still pull the chicks

Unfortunately, Sadat's my dear, I'm probably a bit past being a good… ",1
" Happy new year, you amazing person 🥳❤️",1
 August had 157 days and nobody can convince me otherwise. September was fuckery too.,1
 OPINION: The NSW practice of strip-searching children for drugs (usually finding nothing) is directed by emergency servic…,-1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
" A kangaroo amongst the remains of a burnt house in Gannet Place, Bateman’s Bay  #bushfiresNSW …",0
 Wow! Nancy that's fantastic so happy for you. A little bit of good news goes along way right now 🔥🙁,1
 ,0
" Cet homme a dit à sa fille ""ne dis a personne que ton père est éboueur, ils se moqueront de toi.""

Sa fille a fait prend…",0
 🙏🏾🙏🏾🙏🏾,0
Sydney throwing fire into the sky whilst hundreds lose homes to bush fires.  #Sydney,-1
 I mean the ABC basically spent the last decade avoiding saying the words “climate change” because senior editors were scared of E…,-1
,0
" Happy New Year! 
May the new year and decade be full of spectacular goals, many winning games, trophies, amazing players a…",1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
 It’s time to start walking the talk - let’s start with our own actions ,0
"New year ...same, same 🤷🏼‍♀️

Rantanen #AvsTwitterPsychic #GoAvsGo ❤️💙❤️💙 ",0
"   This was Nowa Nowa, why is this not the story across all our screens? These idiots are t…",0
 I know it sounds weird to blame journalists but in bourgeois democracies they’re the folk who shape how we perceive politics and…,-1
  #Climatecriminals.. that's a keeper.,0
" I can accept it's genuinely a difficult problem for politicians. Coal was, in dollar terms, our biggest export in 2018.…",-1
" No, they were not. Television viewers were shocked to see entire streets destroyed by fire and families sheltering on boats…",-1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
" Sounds like someone cut too close to the bone.

Are you offended because it's the first time you have eve… ",-1
 Meet the bushfire heroes involved in the video that's captured the attention of the nation this morning. #9News …,1
  新闻联播太坏了，你们都太坏了，专挑主席毛病，主席说的是方言➕普通话，念错的那都是方言😂,1
" But that trade is going away whether we like it or not. 

China's imports are forecast to fall 8% next year. Korea now h…",1
 Happy Healthy &amp; Safe 2020!,1
" People are dying fighting fires, families are sitting on beaches whilst trying to stay alive, people are watching their…",0
 🙂❤️,1
" Cet homme a dit à sa fille ""ne dis a personne que ton père est éboueur, ils se moqueront de toi.""

Sa fille a fait prend…",0
" A kangaroo amongst the remains of a burnt house in Gannet Place, Bateman’s Bay  #bushfiresNSW …",0
" Our emergency workers are giving it all they've got to keep Australians safe.

Governments have got to do everything they can t…",1
 ,0
    Yeah come on I’ll wait,1
 feeling like shit...just want this bitch back 😭 ,-1
   4.6 million hectares are burning and you’re worried about a fucking swear word? Fuck me dead.,-1
 OPINION: The NSW practice of strip-searching children for drugs (usually finding nothing) is directed by emergency servic…,-1
" Sydney’s New Year’s Eve fireworks showed TV audiences all over Earth the insensitivity of Australians, who put on a disp…",-1
 “No better place to raise kids” -according to our PM this morning. ,1
Only one thing... real #climate leadership at all levels! Happy 2020  - won’t we happy for me without it! ,1
"Use code: Sanka in the item shop 🇦🇺
#happynewyear ",0
  Those who are soulless and/or stupid enough to continually deny Climate Crisis will not… ,-1
" Cet homme a dit à sa fille ""ne dis a personne que ton père est éboueur, ils se moqueront de toi.""

Sa fille a fait prend…",0
  totropahin muna taz kung sure ko na kahit papaano may pag-asa na bet ko niya kay mu go pud ko. Hahahaha 😁,1
There's a little dude at my door ,0
" NO. I don't consent. Our government went ahead with fireworks in our cities and every corner, whilst precious animals, wil…",1
"┏━━┓┏━━┓┏━━┓┏━━┓
┗━┓┃┃┏┓┃┗━┓┃┃┏┓┃
┏━┛┃┃┃┃┃┏━┛┃┃┃┃┃
   HOMEOPATHY DOESN'T WORK
┃┏━┛┃┃┃┃┃┏━┛┃┃┃┃
┃┗━┓┃┗┛┃┃┗━┓┃┗┛┃
┗━━┛┗━━┛┗━━┛┗━━",0
 Wohoo! Congrats! ,1
 HAPPY FKN NEW YEAR 🥳 ,1
 How good is air pollution!? ,1
 i love how both mamamoo and seventeen went sexy for their cover stages and then went all out jazz for their collab sta…,1
Scanner Radio: Police &amp; Fire by  LLC  ,-1
" Farewell to your Decade of Deceit. 

See if you can avoid knifing Albo.",-1
" Wow
“How good are wealthy-employed-luxury-car-driving deranged psychopaths?” 🙌",1
"The regime in Montenegro cannot be held in power
only on the fear of an ""anti-civilization
anti-democratic"" Serbia",-1
  thank you.  so are we.,1
 Superb reporting on the #AustralianFires on  w.   and  (and reporters o…,1
 The firefighters’ union (FBEU) has been asking to meet with Elliott for months to talk about the impact of budget cuts on…,-1
" before this night end, i just wanna apologise to the ppl that I've hurt while i was hurting and thank u to everyone that…",-1
" Hahaha the future is hot! I am safe, thank you for checking!! One of the fires is edging near me but… ",1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
I wouldn't expect anything less from #TheirABC ,0
 OPINION: The NSW practice of strip-searching children for drugs (usually finding nothing) is directed by emergency servic…,-1
 more blessings + be successful + happiness for 2020 let's all claim it ✨,1
 The firefighters’ union (FBEU) has been asking to meet with Elliott for months to talk about the impact of budget cuts on…,-1
" Tell us your stories and share your photos and videos from Australia's bushfire crisis via this form, but obviously pleas…",-1
 Seriously though - absolute shoutout to the ABC during this crisis. They’re out there saving lives as per their charter and i…,-1
"   Gee, Helen, I wish you would stop beating around the bush and say what y… ",-1
 Australian voters should be crystal clear that what's happening isn't remote trade diplomacy that has nothing to do with…,1
"   Testing times at Kirribilli last night!
Some of the boys had too many sherbies and had to puke…",0
,0
 How unprepared our technology is. There are probably thousands of feature filled smart phones in the hands of the 5000 so…,1
Happy New Years you bunch of internet creeps x,1
" The action needed will be difficult but isn’t complicated: 

1. No new coal or gas plants or extraction approvals. 2. Total dec…",-1
,0
 Im living in 2020 dude,0
Time for the  to remove this pathetic excuse of a so called #PrimeMinister #sackfomo #sackscummo… ,-1
" Yes indeed. 
If  were a decent politician less influenced by conservative political ideology &amp; fundame…",1
 Tex Perkins dedicating The Honeymoon is Over to the PM &amp; then flipping off Kirribilli on live TV is a perfect way to end…,1
 dq11 ,0
" Mi novia llegó y me pilló sin haber hecho el oficio, porque cuando el amor llega así de esa manera, uno no se da ni cuent…",-1
 What about leaving these young people alone and letting them get on with their lives.,-1
" Here's the leader of Australia's opposition yesterday, amidst historic bushfires, refusing to link what's happening to g…",-1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
I think by the 5th round my Bacardi with pineapple juice was just straight Bacardi 🙃 cause that will explain why my head feels heavy.,1
 Extraordinary... ,0
🔥🔥🔥🔥 ,-1
"It is the end of a decade but the start of an age.
When nothing is certain everyhting is possible.

Long live

Feliz 2020",-1
 OPINION: The NSW practice of strip-searching children for drugs (usually finding nothing) is directed by emergency servic…,-1
"2020.
Happy New Year. 😘
I hope you will be healthy again this year.😁 ",1
Just make them stop.,-1
 ,0
 Thank you so much!!!! I’m proud of you too!,1
happy new years 🖤 ,1
,0
How to Win a War  via ,0
Jair Messias Bolsonaro - Sérgio Moro: CRIMES CONTRA OLAVO DE CARVALHO E FAMÍLIA - Sign: ,0
Where can I find info on when to watch the Black Caps in the SCG nets? Kiwi and raving cricket fan 🙏 ,1
oi  work your shit out,-1
" ""the gig economy’s rise has been accompanied by a fall in the fortunes of working households"" - the  view on gig work…",0
 Anyway it’s not even lunch yet on day one of 2020 and I already have the angry panda out ... ,-1
" More than 5 million hectares burned.

Now 11 people killed.

Almost 500 million animals estimated dead.

At least 18 expe…",-1
 Apparently he’s on his way back due to the outrage felt by many. Is this the standard now? Ministers who can’t/won’t do t…,-1
"   My 4g is working intermittently from a hill in the bay, it is frustratingly slow",-1
 Yeah Darrell in your position why don’t u tell the truth as u see it?,1
   Far out!!,0
  My guess is when the govt does its inquiry in the lack of back burning the abc stories and mate… ,-1
     I agree with . David Elliott job is… ,1
 😢😢,-1
" A friend just sent me these pics of her kids at the Bega Showground tonight.

Haunting images like this will forever e…",1
 Happy new year!,1
 Laura Tingle said that I want documentation so I can relish the moment.,1
🦇👨🏻 ,0
 what the future looks like ... ,1
  How some in America see Australia ,0
    Sadly true.,0
" “Please don’t think you’re the expert. Take the advice of the experts”, says , who along with her party has made a po…",1
Kensington track today :105 percent markets on races 4/7/8 today to win $5000 from 1pm till 1:30 pm .Normal Best of… ,1
" Cet homme a dit à sa fille ""ne dis a personne que ton père est éboueur, ils se moqueront de toi.""

Sa fille a fait prend…",0
 This really goes beyond political class; this is now about a small powerful divisive obscene cult tr… ,-1
" before this night end, i just wanna apologise to the ppl that I've hurt while i was hurting and thank u to everyone that…",-1
 It burnt all the way to the coast. This is McKenzie Beach 15 mins south of Batemans Bay #NSWfires #SouthCoastFires …,0
" A friend just sent me these pics of her kids at the Bega Showground tonight.

Haunting images like this will forever e…",1
 This is an excellent scientific explainer by  of exactly how #climatechange has changed Australian temperat…,1
 Look   Lots of light + no #Fireworks for #NYE2020 ,-1
 Tattooed the Painted Lady from Avatar the Last Airbender 💉♥️ ,0
Since the fires have crossed state borders can't the feds come in now without invitation? I wonder what the hold up… ,0
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
   Why forests are allowed to build up fuel loads to the dangerous levels that guarantee a…,-1
" This isn’t an original observation but I worry that bushfires are becoming for us what mass shootings are for America—routine,…",-1
"Police helicopter is doing happy laps overhead.
Wonder what's going on.",1
I'm one of those people who loves the start of a new year and fresh to-do lists! One of my personal goals this year… ,1
   Live a little!,0
       … ,0
" before this night end, i just wanna apologise to the ppl that I've hurt while i was hurting and thank u to everyone that…",-1
 #2020 #Bushfires #Canberra #Auspol #NSWPol ,0
 Happy new year. Sorry for my messages 🎆,1
So weather and  climate have nothing to do with drought?  #auspol ,0
i think i'll carry on,0
  You mean Bible?,0
 what the future looks like ... ,1
Donald Trump Jr. Tells Story of NYC Restaurant that Surprised Him with W...  via ,1
hahaha! may ma igu pada? ,1
" Have an incredible new year. Thank you for an incredible decade of music, growth, happiness and challenges. 
Here’s to more music…",1
          …,0
i should stop watching this kinda video in 2020 ,-1
 shut up why you exposing me like that 😔,1
 Apparently Sydney raised apparently 918k by midnight last night through Red Cross. Kinda funny how god ge… ,1
 Cite one time The Greens have done this,0
 FELIZ AÑO NUEVO HIJOS DE PUTA. ,0
Fact checking Angus Taylor: does Australia have a climate change record to be proud of? Spoiler alert: NO!!… ,1
Some good news ,1
" 劲爆又辣眼，有权的流氓真会玩！！😂😂
上海杨浦区政法干部集体淫乱视频流出！！😎😎 ",1
,0
 This story of mine from September seems more relevant than ever now.  ,0
I’mwithTex,0
"We're not an outfit that focuses on diversity as a target--we focus solely on talent.

Yet lo &amp; behold, 60% of… ",1
"wow, morrison is gonna lose his job to eminem ",1
 ,0
" Protesters stopped burn-offs in East Gippsland, which has since been devastated by fire. Most Green/Labor councillors around…",-1
 what the future looks like ... ,1
"Was in bed before midnight and now am making a coffee with a slice of panettone, and that’s the energy I’m bringing into the new year.",1
" A kangaroo amongst the remains of a burnt house in Gannet Place, Bateman’s Bay  #bushfiresNSW …",0
" No, they were not. Television viewers were shocked to see entire streets destroyed by fire and families sheltering on boats…",-1
Are you a software developer? Are you looking for a new job in the new year? You might like to check out my article… ,1
" Scott Morrison was furious when Christine Nixon went for dinner on Black Saturday.

10 News has confirmed that tonight,…",-1
,0
Wao! ,0
 ถ่ายพลุรอบ 3 ทุ่ม  Sydney มาฝาก ปีนี้สวยมากนู๊ชช #เป๊กผลิตโชค #peckpalitchoke ,0
HAPPY BIRTHDAY HINATA,1
 “No better place to raise kids” -according to our PM this morning. ,1
"  Nice strawman, snowflake.

",1
 Thank you Om ,1
 The firefighters’ union (FBEU) has been asking to meet with Elliott for months to talk about the impact of budget cuts on…,-1
" NO. I don't consent. Our government went ahead with fireworks in our cities and every corner, whilst precious animals, wil…",1
